year,name,total_pts
2011,A.J. Green,143.4
2011,Alex Green,1.7
2011,Allen Bradford,1.3
2011,Andy Dalton,14.5
2011,Anthony Allen,0.8
2011,Armando Allen,4.0
2011,Austin Pettis,25.0
2011,Bilal Powell,2.8
2011,Blaine Gabbert,2.1
2011,Brandon Saine,9.3
2011,Cam Newton,136.4
2011,Cecil Shorts,8.0
2011,Christian Ponder,17.9
2011,Colin Kaepernick,-0.2
2011,Da'Rel Scott,0.9
2011,Dane Sanzenbacher,39.5
2011,Daniel Thomas,62.3
2011,DeMarco Murray,117.8
2011,DeMarco Sampson,3.6
2011,Delone Carter,42.4
2011,Denarius Moore,87.5
2011,Dion Lewis,2.1
2011,Evan Royster,23.9
2011,Greg Little,82.4
2011,Greg Salas,25.2
2011,Jacquizz Rodgers,41.4
2011,Jake Locker,10.6
2011,Jamie Harper,6.3
2011,Jeremy Kerley,26.5
2011,John Clay,6.0
2011,Johnny White,3.5
2011,Jon Baldwin,27.7
2011,Julio Jones,121.0
2011,Kendall Hunter,68.1
2011,Leonard Hankerson,16.3
2011,Mark Ingram,75.0
2011,Niles Paul,3.2
2011,Randall Cobb,35.0
2011,Ricardo Lockette,4.4
2011,Roy Helu,98.6
2011,Ryan Whalen,2.7
2011,Shane Vereen,10.7
2011,Stephen Burton,3.8
2011,Stevan Ridley,42.5
2011,Taiwan Jones,9.8
2011,Titus Young,79.8
2011,Torrey Smith,119.7
2011,Tyrod Taylor,0.2
2011,Vincent Brown,42.9
2012,Alfred Morris,189.1
2012,Alshon Jeffery,44.1
2012,Andrew Luck,40.4
2012,Bernard Pierce,53.6
2012,Brandon Bolden,35.9
2012,Brandon Weeden,11.2
2012,Brian Quick,25.6
2012,Brock Osweiler,-0.7
2012,Chris Givens,80.6
2012,Chris Owusu,2.4
2012,Chris Rainey,22.0
2012,Cyrus Gray,5.3
2012,Dan Herron,0.8
2012,Daryl Richardson,54.4
2012,David Wilson,48.2
2012,DeVier Posey,6.8
2012,Devon Wylie,4.2
2012,Doug Martin,227.6
2012,Isaiah Pead,2.9
2012,Jarius Wright,28.1
2012,Jarrett Boykin,2.0
2012,Jermaine Kearse,3.1
2012,Joe Adams,1.11022302463e-16
2012,Josh Cooper,9.8
2012,Juron Criner,20.1
2012,Justin Blackmon,99.8
2012,Kendall Wright,77.0
2012,Keshawn Martin,18.8
2012,Kirk Cousins,2.2
2012,LaMichael James,10.5
2012,LaVon Brazill,21.6
2012,Lamar Miller,31.0
2012,Marvin Jones,20.3
2012,Michael Floyd,44.6
2012,Mohamed Sanu,36.9
2012,Nick Foles,5.2
2012,Rishard Matthews,11.5
2012,Robert Griffin,103.0
2012,Robert Turbin,52.8
2012,Ronnie Hillman,42.6
2012,Rueben Randle,29.0
2012,Russell Wilson,52.1
2012,Ryan Broyles,41.0
2012,Ryan Lindley,-1.3
2012,Ryan Tannehill,22.9
2012,Stephen Hill,40.2
2012,T.J. Graham,37.2
2012,T.Y. Hilton,107.9
2012,Travis Benjamin,42.1
2012,Trent Richardson,191.7
2012,Vick Ballard,97.9
2013,Ace Sanders,48.8
2013,Andre Ellington,118.1
2013,C.J. Anderson,3.8
2013,Christine Michael,7.9
2013,Cierre Wood,0.9
2013,Cordarrelle Patterson,79.2
2013,Darius Johnson,23.6
2013,DeAndre Hopkins,84.7
2013,Denard Robinson,2.6
2013,Eddie Lacy,181.4
2013,Geno Smith,46.5
2013,Giovani Bernard,149.6
2013,Johnathan Franklin,14.7
2013,Joseph Randle,32.5
2013,Josh Boyce,12.1
2013,Justin Hunter,55.4
2013,Kenbrell Thompkins,66.6
2013,Kenjon Barner,1.4
2013,Kenny Stills,77.5
2013,Knile Davis,31.1
2013,Le'Veon Bell,147.5
2013,Markus Wheaton,6.4
2013,Marquess Wilson,0.3
2013,Marquise Goodwin,40.4
2013,Matt Barkley,-0.2
2013,Mike Gillislee,2.1
2013,Mike Glennon,-4.3
2013,Mike James,33.8
2013,Montee Ball,70.4
2013,Quinton Patton,0.0
2013,Robert Woods,72.6
2013,Stedman Bailey,27.6
2013,Stepfan Taylor,17.2
2013,Tavon Austin,79.9
2013,Terrance Williams,91.1
2013,Theo Riddick,10.1
2013,Zac Stacy,143.5
2014,Albert Wilson,26.0
2014,Alfred Blue,66.5
2014,Allen Hurns,96.2
2014,Allen Robinson,64.8
2014,Andre Williams,108.8
2014,Bishop Sankey,74.7
2014,Blake Bortles,34.0
2014,Brandin Cooks,82.3
2014,Bruce Ellington,24.0
2014,Carlos Hyde,58.1
2014,Charles Sims,26.0
2014,Cody Latimer,0.9
2014,Corey Brown,40.2
2014,Damien Williams,33.7
2014,Davante Adams,59.6
2014,Derek Carr,3.0
2014,Devin Street,1.8
2014,Devonta Freeman,51.7
2014,Donte Moncrief,59.5
2014,Dri Archer,4.5
2014,Isaiah Crowell,101.2
2014,Jalen Saunders,0.7
2014,James White,5.3
2014,Jarvis Landry,86.6
2014,Jeff Janis,1.6
2014,Jeremy Hill,161.9
2014,Jerick McKinnon,67.3
2014,Jimmy Garoppolo,-0.7
2014,John Brown,88.9
2014,Johnny Manziel,7.9
2014,Jordan Matthews,111.7
2014,Josh Huff,5.9
2014,Kelvin Benjamin,142.9
2014,Kevin Norwood,6.8
2014,Lorenzo Taliaferro,56.6
2014,Marqise Lee,47.3
2014,Martavis Bryant,89.0
2014,Michael Campanaro,13.5
2014,Mike Evans,154.7
2014,Odell Beckham,166.5
2014,Paul Richardson,26.1
2014,Robert Herron,10.8
2014,Ryan Grant,6.1
2014,Sammy Watkins,120.8
2014,Silas Redd,23.2
2014,Storm Johnson,18.2
2014,Teddy Bridgewater,24.1
2014,Terrance West,79.1
2014,Tom Savage,-2.6
2014,Tre Mason,108.6
2014,Trey Burton,1.0
2014,Zach Mettenberger,-3.6
2015,Akeem Hunt,8.0
2015,Alonzo Harris,1.9
2015,Amari Cooper,132.7
2015,Ameer Abdullah,80.0
2015,Cameron Artis-Payne,18.0
2015,Chris Conley,22.7
2015,Corey Grant,-0.5
2015,Darren Waller,1.8
2015,David Cobb,7.1
2015,David Johnson,152.7
2015,DeAndrew White,1.8
2015,DeVante Parker,48.8
2015,Devin Funchess,55.3
2015,Devin Smith,14.5
2015,Dorial Green-Beckham,67.8
2015,Duke Johnson,96.8
2015,Geremy Davis,2.1
2015,J.J. Nelson,39.9
2015,Jaelen Strong,25.5
2015,Jameis Winston,40.6
2015,Jamison Crowder,52.7
2015,Javorius Allen,88.9
2015,Jay Ajayi,32.5
2015,Jeremy Langford,115.2
2015,John Crockett,2.1
2015,Josh Robinson,5.2
2015,Justin Hardy,16.0
2015,Karlos Williams,94.6
2015,Keith Mumphery,12.9
2015,Marcus Mariota,38.3
2015,Marcus Murphy,0.0
2015,Mario Alford,1.5
2015,Matt Jones,85.4
2015,Melvin Gordon,69.3
2015,Mike Davis,4.7
2015,Nelson Agholor,29.0
2015,Phillip Dorsett,23.3
2015,Rashad Greene,18.8
2015,Sammie Coates,1.1
2015,Stefon Diggs,92.5
2015,T.J. Yeldon,116.9
2015,Terrence Magee,0.7
2015,Terron Ward,20.7
2015,Tevin Coleman,39.6
2015,Thomas Rawls,111.6
2015,Todd Gurley,177.6
2015,Tre McBride,5.8
2015,Trevor Siemian,-0.1
2015,Ty Montgomery,25.0
2015,Tyler Lockett,90.1
2015,Tyler Murphy,1.6
2016,Aaron Burbridge,4.4
2016,Alex Collins,16.0
2016,Andy Janovich,12.7
2016,Braxton Miller,14.9
2016,C.J. Prosise,43.0
2016,Carson Wentz,18.4
2016,Charone Peake,16.4
2016,Chris Moore,6.5
2016,Cody Core,11.8
2016,Cody Kessler,-0.2
2016,Corey Coleman,52.4
2016,D.J. Foster,2.6
2016,Dak Prescott,51.3
2016,Daniel Lasco,4.3
2016,DeAndre Washington,58.5
2016,Derrick Henry,75.9
2016,Devontae Booker,81.8
2016,Ezekiel Elliott,275.4
2016,Jacoby Brissett,11.3
2016,Jalin Marshall,15.0
2016,Jared Goff,4.6
2016,Johnny Holton,7.7
2016,Jonathan Williams,11.3
2016,Jordan Howard,180.6
2016,Jordan Payton,0.3
2016,Josh Doctson,6.6
2016,Josh Ferguson,15.6
2016,Kenneth Dixon,58.1
2016,Kenyan Drake,31.5
2016,Laquon Treadwell,1.5
2016,Leonte Carroo,7.9
2016,Malcolm Mitchell,60.1
2016,Michael Thomas,134.1
2016,Paul Perkins,51.6
2016,Paxton Lynch,2.5
2016,Pharoh Cooper,7.0
2016,Rashard Higgins,7.7
2016,Ricardo Louis,18.3
2016,Roger Lewis,19.7
2016,Sterling Shepard,107.7
2016,Tajae Sharpe,62.3
2016,Trevone Boykin,-0.6
2016,Trevor Davis,7.4
2016,Tyler Boyd,63.7
2016,Tyler Ervin,2.1
2016,Wendell Smallwood,39.7
2016,Will Fuller,70.8
